DESC,Hazard Ratio,Lower Confidence Level,Upper Confidence Level,Week,
Didn't want protection,8.12075,6.3321,10.41464,0.142857143,
Prior to availability,4.44515,3.82761,5.162312611,1.285714286,
With protection,2.06495,1.63548,2.6072,1.428571429,
Didn't want protection,1.62235,1.11835,2.35349,9.142857143,
With protection,1.25746,1.01936,1.55117,9.285714286,
Prior to availability,1.52908,1.33,1.757963025,10,
Prior to availability,1.41616,1.3178,1.521867474,20.28571429,
Prior to availability,1.30283,1.22163,1.38941676,39.28571429,
Prior to availability,1.58704,1.44171,1.747022959,62.35714286,
